0,2,3,0.0304917779743084
SPACE,C,R,0.0603509464470752
C,R,É,0.0277082961675251
R,É,E,0.0227739420555
É,E,R,0.0115134929280583
R,SPACE,U,0.0617426873504669
U,N,SPACE,0.1534710650740089
N,SPACE,C,0.0671831290637252
C,O,N,0.1672619522076174
E,N,U,0.0103747958252833
U,SPACE,C,0.0527596324285752
O,N,V,0.0150561061366917
V,A,I,0.0280878618684501
C,A,N,0.0666770414624919
A,N,T,0.1447410539527339
T,SPACE,S,0.0713583517739003
C,E,P,0.0198639383484084
E,P,T,0.0182191536444
P,T,I,0.0277082961675251
D,E,V,0.0279613399681417
R,SPACE,V,0.0154356718376167
V,I,R,0.0112604491274417
A,L,.,0.0175865441428584
.,RET,RET,0.1114657941716421
#,SPACE,C,0.0158152375385417
T,SPACE,Q,0.0542778952322752
SPACE,Q,U,0.3626117662836848
Q,U,O,0.0246717705601251
U,O,I,0.0213822011521084
SPACE,L,I,0.0771783591880836
L,I,S,0.0718644393751336
T,E,SPACE,0.1427167035478006
E,S,",",0.0465600593134668
S,",",SPACE,0.1458797510555089
",",SPACE,E,0.0759131401850003
N,SPACE,U,0.0194843726474834
SPACE,P,H,0.0191048069465584
A,S,E,0.0555431142353585
S,E,",",0.01290523383145
",",SPACE,Q,0.0180926317440917
Q,U,I,0.1170327577852088
U,I,SPACE,0.1083027466639337
I,SPACE,V,0.0145500185354583
E,N,N,0.0142969747348417
N,E,N,0.014043930934225
E,SPACE,N,0.0593387712446085
SPACE,N,O,0.1027357830503671
N,O,T,0.0451683184100751
O,T,R,0.0229004639558084
T,R,E,0.1820650145436924
E,SPACE,V,0.0714848736742086
Q,U,E,0.2961877686218095
U,E,SPACE,0.1956028578766841
SPACE,C,E,0.1177918891870588
O,I,T,0.0409930956999001
I,T,SPACE,0.1489162766629089
T,SPACE,L,0.1227262432990838
L,E,S,0.2314085556639426
SPACE,G,R,0.0551635485344335
G,R,A,0.0447887527091501
N,D,E,0.0578205084409085
D,E,S,0.1534710650740089
E,N,R,0.0107543615262083
N,R,E,0.0107543615262083
E,SPACE,H,0.0215087230524167
SPACE,A,V,0.095903600433717
V,E,C,0.0473191907153168
E,C,SPACE,0.0523800667276502
SPACE,S,E,0.1577728096844923
E,N,A,0.0126521900308333
E,SPACE,J,0.0522535448273418
SPACE,J,SQT,0.0340343911829418
J,SQT,A,0.0336548254820168
SQT,A,I,0.0383361357934251
A,I,SPACE,0.0390952671952751
I,SPACE,A,0.0202435040493334
SPACE,A,I,0.017080456541625
I,D,É,0.0294796027718417
M,O,N,0.0740153116803753
N,SPACE,P,0.1065314400596171
À,SPACE,C,0.0191048069465584
N,S,T,0.0365648291891084
U,I,R,0.0131582776320667
E,SPACE,M,0.1467654043576673
A,I,S,0.0942588157297087
I,S,O,0.010248273924975
S,O,N,0.090210114919842
N,SPACE,E,0.0566818113381335
E,T,C,0.017839587943475
E,SPACE,Q,0.1094414437667087
Q,U,A,0.0360587415878751
U,A,N,0.0275817742672167
SPACE,J,E,0.0919814215241587
J,E,SPACE,0.0808474942970253
S,U,I,0.0313774312764668
U,I,S,0.0337813473823251
S,SPACE,T,0.1217140680966171
T,O,M,0.012525668130525
N,SPACE,M,0.0425113585036001
A,I,T,0.0926140310257004
T,SPACE,U,0.0471926688150085
S,I,E,0.0134113214326833
A,T,H,0.0222678544542667
H,I,L,0.0131582776320667
I,L,D,0.015562193737925
E,.,RET,0.0354261320863334
RET,RET,P,0.0167008908407
L,L,E,0.1231058090000088
L,E,R,0.0389687452949668
SPACE,P,L,0.1113392722713338
P,L,U,0.0832514104028836
L,U,S,0.0805944504964086
U,S,SPACE,0.1522058460709256
S,SPACE,L,0.1234853747009338
SPACE,L,O,0.0449152746094585
S,U,R,0.0881857645149087
M,E,N,0.2206541941377342
A,SPACE,C,0.0554165923350502
C,R,E,0.0592122493443002
R,E,E,0.0154356718376167
SPACE,:,SPACE,0.1476510576598256
SPACE,H,T,0.0131582776320667
O,U,T,0.1053927429568421
U,T,U,0.0165743689403917
U,B,E,0.0105013177255917
.,C,O,0.0745213992816086
O,M,/,0.0662974757615669
T,C,H,0.0141704528345333
E,M,B,0.0145500185354583
M,B,E,0.0131582776320667
R,E,F,0.017839587943475
E,R,R,0.01897828504625
R,R,I,0.017080456541625
E,U,R,0.1134901445765754
U,R,I,0.0251778581613584
H,O,N,0.0121461024296
P,A,T,0.0169539346413167
F,E,A,0.0538983295313502
E,A,T,0.0765457496865419
A,T,U,0.0390952671952751
H,A,R,0.0328956940801668
I,S,I,0.0351730882857168
N,E,T,0.0111339272271333
A,L,I,0.0383361357934251
E,SPACE,RET,0.0101217520246667
I,T,É,0.0621222530513919
D,E,M,0.0335283035817084
E,M,O,0.0101217520246667
N,T,R,0.091348812022617
T,R,É,0.0142969747348417
R,É,A,0.0297326465724584
É,A,L,0.015182628037
D,I,R,0.0254309019619751
I,R,O,0.0139174090339167
U,M,O,0.0123991462302167
E,A,L,0.0258104676629001
C,A,/,0.0127787119311417
E,P,E,0.0135378433329917
P,E,R,0.1281666850123422
E,R,T,0.0518739791264168
R,T,O,0.0130317557317583
D,E,P,0.011007405326825
E,P,A,0.014803062336075
P,A,R,0.1411984407441006
R,T,E,0.0282143837687584
T,E,M,0.0692074794686586
E,M,E,0.1205753709938421
S,E,U,0.0266961209650584
U,R,S,0.0656648662600252
/,I,N,0.0122726243299083
A,R,A,0.0215087230524167
R,A,T,0.0464335374131585
C,H,A,0.0838840199044253
H,A,N,0.0346670006844834
N,D,A,0.0311243874758501
SPACE,S,A,0.078823143892092
RET,RET,*,0.0175865441428584
RET,*,*,0.0332752597810918
N,T,É,0.0273287304666001
T,É,R,0.0231535077564251
S,SPACE,D,0.2069898289044342
E,SPACE,R,0.0998257793432754
E,C,H,0.0341609130832501
C,H,E,0.1394271341397839
E,R,C,0.0418787490020585
E,*,*,0.0234065515570417
*,*,RET,0.0158152375385417
*,RET,RET,0.0118930586289833
RET,-,SPACE,0.2282455081562343
SPACE,SPACE,SPACE,0.2396324791839843
SPACE,R,É,0.0786966219917836
R,É,S,0.0263165552641334
É,S,E,0.0105013177255917
E,A,U,0.0440296213073001
A,U,X,0.0274552523669084
U,X,SPACE,0.0741418335806836
X,SPACE,D,0.0121461024296
SPACE,N,E,0.0617426873504669
R,O,N,0.0227739420555
O,N,E,0.0431439680051418
N,E,S,0.0306182998746167
S,SPACE,R,0.0450417965097668
R,É,C,0.0145500185354583
C,U,R,0.0177130660431667
U,R,R,0.0141704528345333
R,R,E,0.0230269858561167
