?,e,1,0.00012652190030833387
d,s,279,0.03529961018602515
s,_,29,0.003669135108941682
_,r,19,0.0024039161058583437
e,f,509,0.06439964725694194
r,r,490,0.061995731151083595
g,_,19,0.0024039161058583437
_,e,22,0.002783481806783345
e,u,2456,0.31073778715726796
i,=,2,0.00025304380061666774
=,h,10,0.0012652190030833386
s,%,13,0.0016447847040083404
%,3,4,0.0005060876012333355
3,a,7,0.0008856533021583371
a,%,20,0.0025304380061666773
%,2,82,0.010374795825283377
2,f,37,0.004681310311408353
f,%,4,0.0005060876012333355
n,y,118,0.014929584236383396
y,v,11,0.0013917409033916725
o,.,116,0.014676540435766728
m,%,2,0.00025304380061666774
f,&,2,0.00025304380061666774
&,s,20,0.0025304380061666773
e,_,69,0.008730011121275038
_,v,8,0.001012175202466671
_,p,40,0.005060876012333355
h,=,12,0.0015182628037000065
=,m,11,0.0013917409033916725
m,t,2,0.00025304380061666774
y,0,2,0.00025304380061666774
0,n,9,0.0011386971027750048
a,z,16,0.002024350404933342
z,&,1,0.00012652190030833387
&,f,1,0.00012652190030833387
e,=,101,0.012778711931141721
=,e,10,0.0012652190030833386
b,_,13,0.0016447847040083404
_,s,38,0.004807832211716687
s,h,395,0.04997615062179188
e,&,12,0.0015182628037000065
&,v,1,0.00012652190030833387
v,=,15,0.001897828504625008
=,i,4,0.0005060876012333355
y,x,1,0.00012652190030833387
x,s,9,0.0011386971027750048
s,3,2,0.00025304380061666774
3,7,25,0.0031630475077083467
7,3,19,0.0024039161058583437
3,w,4,0.0005060876012333355
0,3,84,0.010627839625900045
3,2,78,0.009868708224050043
2,1,162,0.020496547849950086
1,2,211,0.026696120965058447
1,1,155,0.01961089454779175
1,4,106,0.01341132143268339
#,n,10,0.0012652190030833386
l,n,25,0.0031630475077083467
t,w,81,0.010248273924975043
k, ,563,0.07123182987359197
#,d,11,0.0013917409033916725
n,l,147,0.01859871934532508
l,p,50,0.006326095015416693
#,a,20,0.0025304380061666773
#,u,37,0.004681310311408353
